,Random_Forest,Simple_Regression,Neural_Network
0,185.30969424597401,368.73614609924124,301.8420823535764
1,197.51202752916203,411.53027753171733,393.05688920119013
2,187.98819746601583,392.0719252281552,383.4176007148423
3,163.83423182060537,343.792485646379,302.0550642620115
4,162.4060888134616,346.19169450378547,319.0058729431429
5,178.08183158547826,354.56585037371684,323.0769956666342
6,216.32022140123559,396.94098740621456,373.3447017905448
7,193.21897816502025,390.1141117721316,351.65143348757425
8,181.12844206303603,335.94773702229077,301.15245378090145
9,181.01932346938997,392.53178337111314,361.1553611452515
