,Random_Forest,Simple_Regression,Neural_Network
count,10.0,10.0,10.0
mean,184.6819036559379,373.2422998954745,340.97584553456693
std,15.812240165321308,26.66233389836585,35.77381299301385
min,162.4060888134616,335.94773702229077,301.15245378090145
25%,178.81620455645617,348.2852334712683,306.29276643229434
50%,183.219068154505,379.4251289356864,337.36421457710424
75%,191.91128299026914,392.41681883537365,370.2973666292215
max,216.32022140123559,411.53027753171733,393.05688920119013
